입국자국가,국가코드,입국날짜,입국자수
미  국,275,202101,12013
미  국,275,202102,11212
미  국,275,202103,12321
미  국,275,202104,12944
미  국,275,202105,17278
미  국,275,202106,18159
미  국,275,202107,21775
미  국,275,202108,20561
미  국,275,202109,19227
미  국,275,202110,21607
미  국,275,202111,20123
미  국,275,202112,16805
